Date,Open,High,Low,Close,Adj Close,Volume
20/08/2018,41.599998,43.860001,41.5,42.700001,42.700001,947200
27/08/2018,43.700001,45.25,43.419998,44.950001,44.950001,1482900
3/09/2018,44.68,44.68,42.689999,43.48,43.48,1485600
10/09/2018,43.68,44.540001,42.259998,42.599998,42.599998,1202500
17/09/2018,42.700001,46.849998,42.580002,46.209999,46.209999,2192100
24/09/2018,46.389999,46.419998,45.299999,45.470001,45.470001,1106600
1/10/2018,46.049999,46.5,43.810001,45.150002,45.150002,972700
8/10/2018,45,45.23,42.43,44.099998,44.099998,1613900
15/10/2018,43.959999,44.580002,41.720001,41.75,41.75,1189200
22/10/2018,42.290001,42.290001,38.419998,38.880001,38.880001,1392700
29/10/2018,39.099998,39.759998,36.759998,39.240002,39.240002,2590900
5/11/2018,38.759998,41.139999,38.59,40.099998,40.099998,1715000
12/11/2018,39.779999,39.779999,34.959999,36,36,1822100
19/11/2018,36.779999,36.779999,33.900002,35.029999,35.029999,1667700
26/11/2018,36.110001,38.59,35.810001,37.869999,37.869999,1526600
3/12/2018,38.5,38.5,34.68,35.889999,35.889999,2347300
10/12/2018,36.189999,36.689999,35.049999,35.130001,35.130001,3160100
17/12/2018,34.869999,35.150002,31.91,31.91,31.91,2706400
24/12/2018,32.049999,33.209999,31.379999,32.959999,32.959999,1263600
31/12/2018,33.299999,33.779999,32.43,33.650002,33.650002,1116200
7/01/2019,33.919998,35.560001,33.919998,34.84,34.84,1273300
14/01/2019,34.880001,39.34,34.880001,39.25,39.25,2548600
21/01/2019,38.299999,38.810001,37.919998,38.700001,38.700001,1413400
28/01/2019,37.32,38.75,35.200001,35.419998,35.419998,2705900
4/02/2019,36.549999,36.73,32.450001,32.880001,32.880001,1607700
11/02/2019,32.98,33.900002,32.02,33.66,33.66,1811200
18/02/2019,33.130001,36.040001,33.040001,35.540001,35.540001,4406200
25/02/2019,34.91,35.84,34.09,34.669998,34.669998,4678500
4/03/2019,34.049999,34.790001,33.060001,33.400002,33.400002,1557100
11/03/2019,33.349998,34.98,33.150002,34.919998,34.919998,1467300
18/03/2019,35.75,35.970001,33.990002,34.099998,34.099998,2034800
25/03/2019,34.849998,36.349998,34.700001,35.869999,35.869999,2167400
1/04/2019,36.080002,37.57,35.810001,37.369999,37.369999,1254600
